Account,date,daily_pnl,num_trades,win_rate,avg_trade_size,avg_leverage,buy_trades,sell_trades,total_fees,long_short_ratio,profit_factor,sharpe_like,cum_pnl,running_max,drawdown,max_drawdown,classification,frequency_segment,consistency_segment,strategy2_action
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0.0,5089.718248587571,-160.34785561437485,0,177,167.796055,0.0,,0.4433207825698491,0.0,0.0,0.0,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0.0,7976.664411764705,-28.625826041406356,0,68,67.883615,0.0,,0.4433207825698491,0.0,0.0,0.0,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0.0,23734.5,-52.601380009022364,0,40,94.93798300000002,0.0,,0.4433207825698491,0.0,0.0,0.0,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,0.0,28186.666666666668,-44.25905771625861,12,0,33.823995,,0.0,0.4433207825698491,-21227.0,0.0,-21227.0,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,0.4444444444444444,17248.14814814815,-49.53096163190132,12,15,104.62249,0.8,,0.4433207825698491,-19623.9,0.0,-19623.9,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,0.0,16058.536341463414,-42.16188488333223,82,0,131.679967,,0.0,0.4433207825698491,-151894.9,0.0,-151894.9,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0.0,48561.68565217392,-126.37287017347539,0,23,390.921553,0.0,,0.4433207825698491,-151894.9,0.0,-151894.9,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,0.0,36736.36242424243,-77.16467454534224,33,0,121.229992,,0.0,0.4433207825698491,-327505.900056,0.0,-327505.900056,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,0.04946236559139785,11410.954021505377,-138.25001959779306,112,353,780.33644,0.31728045325779036,167.72878056310518,0.4433207825698491,-256111.93595800002,0.0,-256111.93595800002,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,0.5490196078431373,9400.588039215687,-1.377909155632222,28,23,23.971493,1.2173913043478262,,0.4433207825698491,-215893.33596000003,0.0,-215893.33596000003,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,0.9,185847.0,-1159.3351552371391,9,1,92.923496,9.0,,0.4433207825698491,-139183.33596000003,0.0,-139183.33596000003,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,0.30512514898688914,23593.019856972587,99.22952867096367,350,489,2355.038296,0.7157464212678937,2.2642263536314196,0.4433207825698491,-38171.65029600002,0.0,-38171.65029600002,-327505.900056,Fear,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,0.15630885122410546,10576.687156308852,-99.91979303560662,111,420,704.19937,0.2642857142857143,18.044021605698095,0.4433207825698491,337448.619947,337448.619947,0.0,-327505.900056,Greed,Frequent,Consistent,"Scale Up (Consistent + Frequent, Greed)"
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,0.37142857142857144,26585.06338095238,-25.450517630645834,78,132,700.101577,0.5909090909090909,,0.4433207825698491,381849.525747,381849.525747,0.0,-327505.900056,Neutral,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,0.9361702127659575,10161.056241134751,-6.652160821007321,132,9,0.0,14.666666666666666,,0.4433207825698491,412746.61444699997,412746.61444699997,0.0,-327505.900056,Neutral,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,0.3333333333333333,32032.5,-27.69612395471925,16,32,0.0,0.5,,0.4433207825698491,467832.61444699997,467832.61444699997,0.0,-327505.900056,Fear,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,0.0,134600.00166666668,-96.34180674091276,0,6,0.0,0.0,,0.4433207825698491,467832.61444699997,467832.61444699997,0.0,-327505.900056,Neutral,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,0.5254237288135594,27178.041694915253,-18.941155931628842,31,28,561.226533,1.1071428571428572,,0.4433207825698491,477984.736687,477984.736687,0.0,-327505.900056,Neutral,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,0.4246575342465753,13233.776894977169,-9.20344536470008,93,126,555.888761,0.7380952380952381,,0.4433207825698491,593430.132225,593430.132225,0.0,-327505.900056,Fear,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,0.01818181818181818,24958.908545454546,-20.72441114733987,1,54,137.273975,0.018518518518518517,,0.4433207825698491,708717.132225,708717.132225,0.0,-327505.900056,Fear,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,0.8,2985.797555555556,-2.3254559026992228,36,9,6.71802,4.0,,0.4433207825698491,718199.353666,718199.353666,0.0,-327505.900056,Fear,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,0.8424336973478939,8371.136099843994,-171.65660401945945,540,101,268.294625,5.346534653465347,,0.4433207825698491,1252174.016569,1252174.016569,0.0,-327505.900056,Fear,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,0.8,79640.0,-220.14639831538187,4,1,39.819998,4.0,,0.4433207825698491,1292374.016569,1292374.016569,0.0,-327505.900056,Neutral,Frequent,Consistent,Normal
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,1.0,21491.640322580646,-128.59675131890788,31,0,66.62407,,,0.4433207825698491,1600229.819979,1600229.819979,0.0,-327505.900056,Fear,Frequent,Consistent,Normal
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,0.8363636363636363,2469.9509090909087,2.5179249747526504,8,47,34.68082399,0.1702127659574468,,0.25558166515004027,11715.94323,11715.94323,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.0,0.06,8.152162836735275,0,1,0.0,0.0,,0.25558166515004027,11715.94323,11715.94323,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,0.0,1426.8700000000001,5.387372850656919,34,0,1.31668822,,,0.25558166515004027,11715.94323,11715.94323,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,0.9615384615384616,2001.101153846154,1.3265968459468727,0,26,5.2028479999999995,0.0,,0.25558166515004027,15230.974295,15230.974295,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,0.0,1131.888695652174,1.3044048634480654,46,0,1.4383267,,,0.25558166515004027,15230.974295,15230.974295,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,0.984375,852.88625,1.1124756743680562,0,64,19.104602,0.0,,0.25558166515004027,17748.76168,17748.76168,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,0.2542372881355932,1913.523898305085,2.5652294079333307,44,15,20.81460217,2.933333333333333,,0.25558166515004027,19361.927583,19361.927583,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0.0,0.11,22.850827719300433,0,1,0.0,0.0,,0.25558166515004027,19361.927583,19361.927583,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,0.6176470588235294,10051.199411764705,594.2379110764016,13,21,119.60926,0.6190476190476191,,0.25558166515004027,20607.446093000002,20607.446093000002,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,0.0,2845.9646153846156,0.01261420740768122,13,0,61.51029,,,0.25558166515004027,20607.446093000002,20607.446093000002,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,1.0,2440.6282352941175,0.022693529972072888,0,17,14.521732,0.0,,0.25558166515004027,25100.678572,25100.678572,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,0.717948717948718,2154.3915384615384,0.2532750019504045,10,29,89.144541,0.3448275862068966,,0.25558166515004027,26147.709564,26147.709564,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,0.6451612903225806,2194.294758064516,1344.5245353162807,43,81,124.96169717000001,0.5308641975308642,,0.25558166515004027,30989.763881000003,30989.763881000003,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,0.584070796460177,1737.369557522124,5698.4174763768,141,198,108.05738221,0.7121212121212122,,0.25558166515004027,32683.257046000002,32683.257046000002,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,0.07407407407407407,2398.331666666667,986.5284157805436,50,4,24.25559825,12.5,,0.25558166515004027,36904.413445,36904.413445,0.0,-22505.512854,Greed,Frequent,Inconsistent,Hold Flat (Inconsistent / Infrequent)
